product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
50 Wheat Pennies (Unsearched Shotgun Roll) - Mixed Years Circulated Good or Better.,Collectible Coins,27,980.0,11.99,0.73,59.66638865721434
The Essential Kenny Loggins,CDs & Vinyl,14,750.0,11.88,0.86,54.29292929292929
"(Pack of 2) Replaced Remote Control for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku/Insignia Roku/Jvc Roku/RCA Roku Series Smart TVs",Electronics,22,750.0,11.57,0.78,50.561797752808985
"""10 Things That Require Zero Talent""- Motivational Wall Art- 8 x 10"" Poster Print-Ready to Frame. Modern Decor for Home-Office-School-Gym & Locker Room. Teach Your Team & Players The Fundamentals!",Handmade Products,4,571.0,10.88,0.96,50.382352941176464
"45W USB Type C Chromebook Charger Laptop Fast Charging Power Adapter, Widely Compatible with HP, Dell, Lenovo, Acer, Asus, Samsung, Google, and More",Computers & Accessories,27,855.0,12.99,0.73,48.048498845265584
Planet Zero,CDs & Vinyl,30,817.0,11.99,0.7,47.69808173477898
"Funny Kitchen Towels, Drinking Themed Puns, Flour Sack Dish Towel, Sweet Housewarming Gift, White or Gray",Handmade Products,19,721.0,12.95,0.81,45.0972972972973
100 OLD VINTAGE TOPPS BASEBALL CARDS ~ SEALED WAX PACKS LOT!,Sports Collectibles,22,727.0,12.74,0.78,44.51020408163266
"Armor of God Challenge Coin,Prayer Commemorative Coin",Collectible Coins,21,685.0,12.99,0.79,41.658968437259425
"Lin Manuel Miranda Good Morning Merch Poster - Motivational Wall Art - Positive Inspirational Quotes Bathroom Wall Decor - Uplifting Encouragement Gifts for Women, Men, Hamilton Musical Broadway Play",Handmade Products,16,479.0,12.95,0.84,31.070270270270267
Inglourious Basterds - 4K Ultra HD + Blu-ray + Digital [4K UHD],Movies & TV,26,558.0,13.5,0.74,30.58666666666667
Gemstone Toe Ring - 925 Sterling Silver Feet Body Jewellery Adjustable Toe Ring For Girls Women Gift Jewellery,Handmade Products,9,425.0,13.49,0.91,28.669384729429208
Gacha Club,Apps & Games,33,505.0,12.99,0.67,26.046959199384144
The Forge U.S. Army Soldier Military Challenge Coin- Army Gifts,Collectible Coins,25,499.0,14.73,0.75,25.40733197556008
Growin’ Up,CDs & Vinyl,25,403.0,11.96,0.75,25.27173913043478
Military Gift Shop Marine Corps Crucible Challenge Coin - USMC Boot Camp - The Crucible - USMC Vet Owned Business,Collectible Coins,34,527.0,13.77,0.66,25.25925925925926
Gacha Life,Apps & Games,31,471.0,12.99,0.69,25.018475750577363
'Temptations 60',CDs & Vinyl,29,384.0,11.19,0.71,24.364611260053618
"Mindset is Everything - Motivational Wall Art Poster for Home, Office - Gift for Entrepreneur, Student, Men, Teens - Inspirational Decor - Uplifting Self-Improvement Positive Quote - Shark Goldfish",Handmade Products,12,328.0,12.95,0.88,22.28880308880309
Nintendo amiibo - New Inkling Girl (Neon Pink),Video Games,12,328.0,14.99,0.88,19.25550366911274
U.S. Navy Core Values Challenge Coin Collector's Medallion,Collectible Coins,27,252.0,10.99,0.73,16.738853503184714
