Unnamed: 0,product_name,category,categoryRank,noRatings,cost,product_url
24,"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads",Amazon Devices & Accessories,#25,"6,396",$189.99,https://www.amazon.com/Introducing-kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=cm_cr_arp_d_product_top?ie=UTF8
25,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",Amazon Devices & Accessories,#26,"40,448",$129.99,https://www.amazon.com/Echo-Show-8-2nd-Gen-2021-release/dp/B084DCJKSL/ref=cm_cr_arp_d_product_top?ie=UTF8
26,"All-new Fire 7 tablet, 7” display, 16 GB, 30% faster processor, designed for entertainment, (2022 release), Black",Amazon Devices & Accessories,#27,662,$59.99,https://www.amazon.com/Fire-7-Tablet/dp/B096WKKK2K/ref=cm_cr_arp_d_product_top?ie=UTF8
27,"All-new Ring Stick Up Cam HD security camera with two-way talk, Works with Alexa",Amazon Devices & Accessories,#28,"53,257",$99.99 - $239.97,https://www.amazon.com/All-new-Ring-security-camera-two-way/dp/B08QSB7SR3/ref=cm_cr_arp_d_product_top?ie=UTF8
28,"Insignia 32-inch Class F20 Series Smart HD 720p Fire TV (NS-32F201NA22, 2021 Model)",Amazon Devices & Accessories,#29,"2,358",$99.99,https://www.amazon.com/All-New-Insignia-NS-32F201NA22-32-inch-Released/dp/B08X7JSCHQ/ref=cm_cr_arp_d_product_top?ie=UTF8
29,Ring Solar Panel for Spotlight Cam Battery,Amazon Devices & Accessories,#30,"38,481",$59.99 - $103.36,https://www.amazon.com/Ring-Solar-Panel-Spotlight-Battery/dp/B07G61MF64/ref=cm_cr_arp_d_product_top?ie=UTF8
30,"Alexa Voice Remote (3rd Gen) with TV controls, Requires compatible Fire TV device, 2021 release",Amazon Devices & Accessories,#31,"8,245",$29.99,https://www.amazon.com/alexa-voice-remote-with-power-and-volume-controls/dp/B08D6WJYD9/ref=cm_cr_arp_d_product_top?ie=UTF8
31,RVD Spare Parts Kits,Amazon Devices & Accessories,#32,"15,388",$1.99,https://www.amazon.com/RVD-Spare-Parts-Kits/dp/B095JRZ8C3/ref=cm_cr_arp_d_product_top?ie=UTF8
32,Kindle - With a Built-in Front Light - Black,Amazon Devices & Accessories,#33,"39,646",$89.99,https://www.amazon.com/Kindle-Now-with-Built-in-Front-Light/dp/B07978J597/ref=cm_cr_arp_d_product_top?ie=UTF8
33,"Insignia 43-inch Class F30 Series LED 4K UHD Smart Fire TV (NS-43F301NA22, 2021 Model)",Amazon Devices & Accessories,#34,"4,267",$189.99,https://www.amazon.com/Insignia-43-inch-Class-Smart-Fire/dp/B08X7K3H7K/ref=cm_cr_arp_d_product_top?ie=UTF8
34,Introducing Amazon Smart Thermostat,Amazon Devices & Accessories,#35,"9,208",$59.99 - $144.97,https://www.amazon.com/Amazon-Introducing-Smart-Thermostat/dp/B09DFNGW8N/ref=cm_cr_arp_d_product_top?ie=UTF8
35,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",Amazon Devices & Accessories,#36,"121,677",$139.99,https://www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WDDT3G5/ref=cm_cr_arp_d_product_top?ie=UTF8
